iter	Passed	Remaining
153	1418	44631
154	1428	44637
155	1437	44643
156	1447	44656
157	1457	44651
158	1466	44641
159	1474	44616
160	1483	44593
161	1491	44545
162	1499	44510
163	1509	44516
164	1518	44485
165	1526	44465
166	1537	44493
167	1545	44463
168	1554	44444
169	1562	44401
170	1570	44363
171	1578	44321
172	1587	44301
173	1596	44273
174	1604	44246
175	1614	44255
176	1625	44303
177	1633	44259
178	1643	44260
179	1656	44348
180	1666	44380
181	1675	44362
182	1686	44404
183	1695	44387
184	1704	44369
185	1714	44375
186	1723	44360
187	1731	44325
188	1740	44294
189	1748	44270
190	1757	44251
191	1766	44235
192	1777	44272
193	1786	44264
194	1795	44247
195	1806	44270
196	1815	44252
197	1823	44217
198	1831	44175
199	1840	44169
200	1849	44164
201	1858	44143
202	1867	44134
203	1876	44117
204	1884	44086
205	1893	44069
206	1903	44065
207	1911	44035
208	1919	44010
209	1927	43974
210	1936	43945
211	1944	43922
212	1953	43898
213	1962	43891
214	1973	43912
215	1981	43885
216	1991	43888
217	2003	43942
218	2013	43946
219	2021	43923
220	2030	43915
221	2040	43925
222	2051	43953
223	2061	43954
224	2073	44003
225	2083	44019
226	2094	44029
227	2102	44004
228	2110	43978
229	2120	43967
230	2130	43986
231	2139	43968
232	2147	43937
233	2156	43927
234	2168	43965
235	2177	43958
236	2187	43960
237	2196	43953
238	2205	43930
239	2213	43899
240	2222	43897
241	2231	43874
242	2241	43878
243	2252	43906
244	2262	43914
245	2274	43946
246	2283	43949
247	2292	43918
248	2301	43905
249	2311	43925
250	2321	43922
251	2329	43897
252	2338	43882
253	2350	43913
254	2360	43931
255	2369	43916
256	2379	43915
257	2389	43917
258	2399	43922
259	2409	43919
260	2417	43893
261	2425	43869
262	2435	43858
263	2444	43851
264	2454	43850
265	2465	43873
266	2474	43861
267	2484	43865
268	2493	43861
269	2504	43872
270	2513	43858
271	2523	43857
272	2531	43838
273	2539	43807
274	2550	43822
275	2558	43797
276	2569	43805
277	2577	43785
278	2586	43772
279	2595	43754
280	2605	43761
281	2613	43733
282	2622	43703
283	2631	43694
284	2639	43662
285	2648	43650
286	2656	43627
287	2667	43636
288	2677	43643
289	2687	43643
290	2695	43626
291	2704	43605
292	2712	43579
293	2723	43591
294	2734	43609
295	2745	43632
296	2754	43613
297	2763	43600
298	2772	43588
299	2780	43566
300	2789	43546
301	2799	43556
302	2809	43544
303	2818	43535
304	2827	43529
305	2837	43519
306	2846	43509
307	2854	43491
308	2863	43470
309	2871	43449
310	2881	43452
311	2891	43440
312	2901	43446
313	2910	43438
314	2921	43450
315	2930	43433
316	2942	43463
317	2954	43498
318	2966	43523
319	2976	43538
320	2985	43523
321	2995	43523
322	3006	43535
323	3018	43561
324	3026	43535
325	3036	43541
326	3045	43522
327	3054	43509
328	3064	43503
329	3075	43528
330	3084	43515
331	3093	43500
332	3101	43472
333	3110	43458
334	3119	43439
335	3127	43415
336	3136	43395
337	3146	43401
338	3159	43438
339	3169	43440
340	3178	43422
341	3187	43416
342	3199	43440
343	3209	43445
344	3219	43434
345	3228	43421
346	3237	43418
347	3247	43416
348	3256	43396
349	3268	43419
350	3276	43398
351	3285	43388
352	3296	43400
353	3305	43385
354	3315	43383
355	3325	43378
356	3333	43354
357	3342	43342
358	3351	43326
359	3362	43333
360	3372	43335
361	3380	43312
362	3391	43323
363	3402	43332
364	3411	43327
365	3422	43331
366	3431	43323
367	3442	43331
368	3451	43319
369	3461	43319
370	3470	43301
371	3479	43291
372	3487	43261
373	3496	43251
374	3507	43259
375	3515	43235
376	3525	43226
377	3538	43263
378	3548	43267
379	3558	43266
380	3569	43274
381	3578	43256
382	3590	43277
383	3599	43274
384	3608	43254
385	3618	43259
386	3627	43237
387	3639	43256
388	3648	43243
389	3656	43222
390	3665	43206
391	3674	43195
392	3682	43173
393	3691	43159
394	3700	43145
395	3710	43138
396	3719	43125
397	3728	43112
398	3737	43099
399	3747	43096
400	3756	43084
401	3764	43061
402	3774	43060
403	3783	43037
404	3792	43033
405	3801	43015
406	3809	42992
407	3818	42974
408	3826	42951
409	3836	42944
410	3844	42921
411	3853	42908
